RGN17NM,PopulationDensity_km2_score,Pct70_79_score,Pct80plus_score,EW_IMD_Decile_score,bph_score,RiskScore
East Midlands,4,7,4,4,4,23
East of England,2,8,9,2,10,31
London,10,1,1,6,9,27
North East,5,6,6,10,2,29
North West,8,4,2,9,3,26
South East,7,5,8,1,8,29
South West,3,10,10,3,7,33
Wales,1,9,7,5,1,23
West Midlands,9,3,5,8,6,31
Yorkshire and The Humber,6,2,3,7,5,23
